,Job Name,Company Name,City Name,Payment,Payment Rate,Begin Date,End Date,Job Order,Telephone,Email,Web,Full Time,Workers Needed,Job Duties,Experience Required,Experience Months,Special Requirements,Hours Per Week,Schedule
10,Crawfish,"Bayou Land Seafood, LLC.","Breaux Bridge, LA",$14.38,hour,12/1/2022,6/30/2023,View Job Order,+13376676118,,www.laworks.net,Yes,40,"Duties of a crawfish position:  Bag, prepare bait, box, clean, cleanup of worksite, conveyor belt/steam room, dehead, dock work (load & unload of bait/products/supplies, etc), dump sacks, extract meat, fill baskets, troughs and tables, freeze, grade, ice pack, load/unload, package, peel, prepare, process, refrigerate, remove/discard waste products, sanitize, seal, vacuum pack, wash, wash machine, weigh and any other activities as related to crawfish processing.",No,,"Bayou Land Seafood, LLC. is looking to fill crawfish positions in St. Martin parish.  Temporary, fulltime, seasonal position and we are looking to fill 40 job openings for employment from December 1, 2022 - June 30, 2023.    

Duties of a crawfish position:  : Bag, prepare bait, box, clean, cleanup of worksite, conveyor belt/steam room, dehead, dock work (load & unload of bait/product/supplies, etc), dump sacks, extract meat, fill baskets, troughs and tables, freeze, grade, ice pack, load/unload, package, peel, prepare, process, refrigerate, remove/discard waste products, sanitize, seal, vacuum pack, wash, wash machine, weigh and any other activities as related to crawfish processing.

Requirements: Manual dexterity of hands/Extensive sitting and/or standing. Must have two weeks (no months) seafood exp. After initial 30 hours of processing employee must be able to peel 5.15# or more per hour.  Employer may require drug screen; post hire, employer paid.  Testing positive or failure to comply may result in immediate termination. Must not be allergic to product and/or environment. Terms and conditions of employment: $ 14.38 hourly M-F, some Sat/Sun, 6a-2p with an unpaid lunch break.  35-hour week, overtime may be available and paid @ $21.57 which is the overtime hourly rate (after 40 hours weekly).  Overtime, offered hours, and schedule may all vary.  Employee may be paid per pound @ employer discretion, which at all times meet/or exceed ETA 9142 certified hourly wage. Employee may earn more through piece rate work. Unpaid breaks available in 30 min increments at employee discretion. No on the job training. No education requirement. Employees may be compensated above the DOL approved wage rate, this decision to pay above the DOL certified wage rate will be made by the employer basing this decision on factors that include the individual recipient's performance and work history. Transportation (including meals and to the extent necessary lodging) to the place of employment will be provided or its cost to the workers reimbursed, if the worker completes half the employment period.  Return transportation and daily subsistence will be provided if worker completes the employment period or is dismissed early by the employer. The amount of transportation payment or reimbursement will be equal to the most economical and reasonable form of common carrier for the distance involved.  Daily subsistence will be provided at a rate of $14.00 per day during travel to a maximum of $59 per day with receipts.  Employer will not provide daily transportation to the worksite. Employer will reimburse the H2B worker in the first workweek for all visa, visa processing, border crossing and other/related fees including those mandated by the government incurred by the H2B worker (excluding passport expenses and other charges primarily for the benefit of worker). The employer will provide workers at no charge all tools, supplies, and equipment required to perform assigned duties.  Miscellaneous: Employer will use a single work week as its standard for computing wages due.  Workweek runs from Sun  SAT with checks distributed by end of day on following Wed. Employer will make payroll deductions as required by law and deducted from the worker paycheck. Potential local housing for rent if worker desires.  No more than $30 per week/per person may be charged or deducted from worker paychecks for housing and basic utilities for workers who choose housing option. Employer contact information: Bayou Land Seafood, LLC. Adam J. Johnson, 1008 Vincent Berard Road, Breaux Bridge, LA 70517, 337-667-6118.  How to apply: Applicants inquire about job, send applications, indications of availability or resumes directly to local LA SWA office located in St. Martin parish, 215 Evangeline Blvd. St. Martinville, LA, 70582 337-394-2205 and refer to job order # 1349258.
",35,6:00 A.M. - 2:00 P.M.
11,Oyster Shucker,"G. W. Hall & Son, LLC","Fishing Creek, MD",$15.98,hour,11/28/2022,3/31/2023,View Job Order,+14103973327,,https://mwejobs.maryland.gov,Yes,10,"Under direct supervision the seafood processor/oyster shuckers will clean, chip shell if necessary, shuck whole oyster, separate oyster meat by size or quality, weigh and place in containers and seal, count, measure, ice, pack, and prepare product for wholesale/retail sale. Clean and prepare work and equipment to meet all regulations state and federal satisfactory for food safety, load/unload, and may have occasional use of material handling devices, dump, move, dock work, staple and assemble boxes. Workers will assist with unloading raw product (oysters) from boats, trucks, and coolers to place into processing area, or on to the tables to be processed. Workers will also assist with loading finished products onto trucks for shipment.   Work is supervised.  Employer provides 15 days on the job training.",No,,"Lift/carry up to 50 pounds. 
",40,5:30 A.M. - 2:00 P.M.
12,Forestry Worker,"Green Forestry, LLC","Gatesville, NC",$8.80-$25.34,hour,11/21/2022,6/30/2023,View Job Order,+14349069709,greenforestryllc@gmail.com,,Yes,120,"Duties may include: Tree planting and pre-commercial thinning & other related Forestry Worker activities as per SOC/OES 45-4011 (onetonline.org).

At Employer’s sole discretion: possible raises and/or bonuses based on individual factors such as work performance or skill (not guaranteed).

Possible weekend/holiday work.",Yes,3,"Must be 18 due to travel. Must show proof of legal authorization to work in the United States. Drug/alcohol/tobacco free work zone. Must walk substantially (up to 15 miles/day), also stoop, bend while carrying a pack (up to 50lbs) thru rough terrain (non-trail). All applicants must be able, willing, qualified to perform work described and must be available for the entire period specified and work throughout all areas of intended employment.  Outdoors, exposed to weather; must be capable of doing physically strenuous labor for long hours, occasionally in extreme heat or cold. Variable weather conditions apply; hours may fluctuate (+/-), possible downtime and/or OT.
",40,8:00 A.M. - 5:00 P.M.
13,Bar Porter,"Hard Rock Casino Cincinnati, LLC","Cincinnati, OH",$11.00,hour,11/23/2022,7/31/2023,View Job Order,+15132503121,,www.ohiomeansjobs.ohio.gov,Yes,4,"Prepare and mix drinks, clean/stock bar area, including bar tops, sinks, glasses, refrigerators, coolers and other bar appliances, serve drinks to patron and/or waitstaff at bar. Performs other bar job-related duties as assigned. Follow all Hard Rock policies.

Employer will offer approximately 40 hours per week depending on shift schedule. Open 7 days a week. Normal shift time: 10:00am-4:00pm, 4:00pm-12:00am. 30-minute, unpaid break per shift and two paid 15-minute breaks per shift. Workdays and shift times may vary with occupancy and events.

F.b.9a. Additional conditions about the wage rate to be paid -
Tip position. Allowed tip credit applied per FLSA guidelines to meet offered wage. Employer will guarantee offered wage for hours worked when allowed tip credit does not make hourly wage equal or exceed the offered wage of $11.00 per hour. Employer may increase wage based on experience, changes in market conditions, and/or provide additional pay for performance and tenure. An overtime premium will be paid when required by Federal, State, or local law, including at time-and-a-half after 40 hours per workweek.  Generally, when overtime is available it will be paid at $16.50 per hour.  A single workweek will be used to compute wages due. Pay received weekly.  ",No,,"No minimum education required.
No minimum experience required.
Must be at least 19 years old.
Workers are subject to post-employment criminal background checks, paid by employer and applied equally to all workers, U.S. and foreign/H-2B. 
Workers are subject to post-employment/post-injury or incident drug testing, paid by employer and applied equally to all workers, U.S. and foreign/H-2B. 
Must be able to work weekends and holidays as required. 
Applicant must complete an employment application.




",40,4:00 P.M. - 12:00 A.M.
14,Housekeepers,"Mogul Hospitality Partners-Jackson, LLC","Jackson, WY",$14.28,hour,11/30/2022,4/12/2023,View Job Order,+13077331620,,www.wyomingatwork.com,Yes,5,"Clean guest rooms, lounges, and other common areas; make beds; clean/disinfect bathrooms; wash windows/walls; stock rooms; sort/fold/stack linens.",No,,"Must lift/carry 50 lbs., when necessary.  Saturday and Sunday work required, when necessary.  Post-hire random, post-accident and upon suspicion of use drug testing required of foreign and domestic workers. Post-hire employment eligibility (e-Verify) check required of foreign and domestic workers.
",35,8:30 A.M. - 4:30 P.M.
15,Material Handler,"CRC Indiana, LLC ","Plainfield, IN",$16.03,hour,11/25/2022,4/30/2023,View Job Order,+15047123472,jgibson@crc.global,,Yes,30,"Move freight, stock, or other materials to and from storage or production areas, loading docks, delivery vehicles, ships, or containers, by hand or using trucks, tractors, or other equipment. Sort cargo before loading and unloading. Attach identifying tags to containers or mark them with identifying information. Read work orders or receive oral instructions to determine work assignments or material or equipment needs. Stack cargo in locations, such as transit sheds or in holds of ships as directed, using pallets or cargo boards. Record numbers of units handled or moved, using daily production sheets or work tickets. Install protective devices, such as bracing, padding, or strapping, to prevent shifting or damage to items being transported. Attach slings, hooks, or other devices to lift cargo and guide loads. Maintain equipment storage areas to ensure that inventory is protected. Adjust controls to guide, position, or move equipment, such as cranes or booms.  Wash out cargo containers or storage areas. Pack containers and re-pack damaged containers. Carry needed tools or supplies from storage or trucks and return them after use. Rig or dismantle props or equipment, such as frames, scaffolding, platforms, or backdrops, using hand tools.",No,,"Pre hire drug screening
",45,7:00 A.M. - 4:00 P.M.
16,Stable Attendant,SOUTHEAST THOROUGHBRED RACING LLC,"Hallandale Beach, FL",$14.11,hour,11/30/2022,4/1/2023,View Job Order,+15164282608,wimottrace@gmail.com,,Yes,10,Cares for and cleans horses; exercises and inspects them according to instructions.,Yes,1,Must have one (1) month experience as a Stable Attendant.,40,5:00 A.M. - 11:00 A.M.
17,Thoroughbred Racehorse Groom,"Kenneth McPeek Racing Stables, Inc.","Hallendale Beach, FL",$12.81,hour,12/3/2022,4/2/2023,View Job Order,+18592549969,office@mcpeekracing.com,,Yes,21,"Attends to overall care of racehorses, maintains stalls including disinfecting bedding and stalls; proper use of various types of bandages on horses, also cleans, trims and brushes the horses. Administers medicine as instructed and inspects and observes the horses' physical condition. Accompanies horses to racetrack or other places as needed. Responsible for the safety of the horses and nearby workers. Split shift required because of training and racing schedules.",Yes,1,"Job is split shift so the workers work from 5 a.m. to 11:00  a.m. and then return in the afternoons from 4:00 to 5:00 to feed the horses.  Day off is rotated.  There is some lifting and pulling, or carring tack and/or buckets and hay, must be able to lift up to 50 lbs.",42,5:00 A.M. - 11:00 A.M.
18,Stable Attendant,MOTT THOROUGHBRED RACING LLC,"Hot Springs, AR",$15.21,hour,11/25/2022,5/1/2023,View Job Order,+15188107858,rileytmott@gmail.com,,Yes,8,"Cares for and cleans horses, exercises, and inspects them according to instructions.",Yes,1,Must have one (1) month experience as a Stable Attendant.,40,5:00 A.M. - 11:00 A.M.
19,Groundskeeper,"Hard Rock Casino Cincinnati, LLC","Cincinnati, OH",$14.00,hour,11/23/2022,7/31/2023,View Job Order,+15132503121,,www.ohiomeansjobs.ohio.gov,Yes,3,"Landscape or maintain grounds of property using hand or power tools or equipment. Lay sod, mow, trim, plant, weeding, watering, dig holes with shovel, rake, blow leaves; spread seed, fertilizer and mulch; sprinkler installation/repair, power wash, pick up trash/clean grounds, installation of mortarless segmental concrete masonry wall units. May drive trucks or other vehicles to/from or at worksites. Maintain equipment to ensure
proper functioning.

Employer will offer approximately 40 hours per week. Open 7 days a week. Normal shift times: 7:00am-3:00pm, 3:00pm-11:00pm, 11pm-7:00am, double shift 11:00pm-3:00pm. 30-minute, unpaid break per shift and two 15-minute paid breaks per shift. Workdays and shift times may vary with events and occupancy.

F.b.9a. Additional conditions about the wage rate to be paid -
Employer may increase wage based on experience, changes in market conditions, and/or provide additional pay for performance and tenure. An overtime premium will be paid when required by Federal, State, or local law, including at time-and-a-half after 40 hours per workweek. Generally, when overtime is available it will be paid at $21 per hour based on locality the work is performed and the base rate of pay offered per hour. 
A single workweek will be used to compute wages due. Pay received weekly.  ",No,,"Must obtain valid U.S. drivers license within 30 days of employment.
No minimum education required.
No minimum experience required.
Must be at least 19 years old.
Workers are subject to post-employment criminal background checks, paid by employer and applied equally to all workers, U.S. and foreign/H-2B. 
Workers are subject to post-employment/post-injury or incident drug testing, paid by employer and applied equally to all workers, U.S. and foreign/H-2B. 
Must be able to work weekends and holidays as required. 
Applicant must complete an employment application.  
Must be able to lift 50 lbs. 


",40,7:00 A.M. - 3:00 P.M.
20,Shop Helper,Titan Landscape LLC,"Sandy, UT",$18.42,hour,11/23/2022,3/31/2023,View Job Order,+18019532332,Brittany@titanlandscape.net,,Yes,5,"Help maintenance and repair workers with maintenance, parts replacement, and repair of vehicle fleet and lawn and snow equipment. Furnish tools, materials, and supplies to maintenance workers, clean work area, machines, and tools. Organize shop supplies.",No,,"Work on Saturdays and Sundays may be required.
",35,8:30 A.M. - 4:00 P.M.
21,Line Cook Ii,Moonlight Basin,"Big Sky, MT",$18.00-$20.00,hour,11/21/2022,4/21/2023,View Job Order,+14069957700,dlawler@moonlightbasin.com,,Yes,10,"Line Cook II will be responsible for preparing, seasoning, and cooking soups, meats, vegetables, desserts, and other food items in a restaurant.",Yes,6,"The petitioner will consider any person for employment who possesses at least six (6) months of culinary experience in a fine-dining or high-volume environment at a high-end restaurant, resort, or private club. Applicant must complete pre-employment background check.

Work schedule can vary and can include evening, weekend, and holiday hours.  Work may be performed on any day of the week from Monday through Sunday.  Example shifts: 9:00am  5:00pm, or 3:00pm  11:00pm.  Shift hours may vary.",40,9:00 A.M. - 5:00 P.M.
22,Laborer,Dyna-Mist Construction,"Wylie, TX",$16.49-$18.00,hour,11/1/2022,3/1/2023,View Job Order,+19724245343,kay@dyna-mist.com,,Yes,36,"Remove and trim bushes, dispose of brush, rake and clean up ground and leftover debris, landscape planting, spreading mulch, leaf removal, install rye-grass seed, winter maintenance of athletic fields.",No,,,40,7:00 A.M. - 5:00 P.M.
23,Truck Driver,AUTOMATED HARVESTING LLC,"Yuma, AZ",$19.16,hour,11/8/2022,4/30/2023,View Job Order,+18312614383,krodriguez@automatedharvesting.com,,Yes,10,"Essential Duties for the Class A Harvest Truck Driver include, but are not limited to the following: 1. Follow supervisor instructions always, and arrive to work on time. 2. Conduct thorough and accurate pre-trip inspections on truck & trailers. 3. Safe and correct operation of trucks. 4. Safe and correct hook-up of trailers. 5. Safely and correctly load/unload trailer and tie down load. 6. Correctly distribute trailer load to comply with state and federal regulations. 7. Follow delivery instructions, and accurately complete logs and other necessary forms. 8. Pick up empty materials when necessary and deliver to field locations. 9. Maintain and care for v-boards, tarps, ropes, pallets, returnable totes and all other driver equipment. 10. Perform duties in accordance with established safety standards and proper vehicle operation techniques. 11. Communicate with dispatcher, field harvest supervisors, co-workers, and plant receiving in a courteous, professional manner. 12. Participate in pre-hire U.S. DOT drug & alcohol testing programs as required. 13. Participate in safety trainings, orientations and all other company meetings as required. 14. Report all injuries to supervisor immediately regardless of how slight they might seem. Work Schedule – The drivers will work staggering shifts of 7 hours a day Monday through Friday, and may work on Saturday. The shift schedules vary in start time and end time. The work
schedules have a start time of 5:00a.m.-7:00 a.m. and an end of time 1:00-5:00 p.m. or 3 -7:00 p.m. (depending on start time).
Training: Training will be provided for 2 days from each worker’s initial date of employment.  The employer will provide on-the-job training in the proper use and maintenance of tools, supplies, or equipment required in the performance of work.",Yes,12,"Valid Commercial drivers license or equivalent

Qualifications/Requirements:  Valid Commercial drivers license or equivalent.  Clean DMV record  Medical Examiners Report.  1 year field harvest truck driver experience.  Ability to pass a pre-hire drug & alcohol screening test, at no cost to the employee.  Ability to speak, read & write enough English to communicate with CHP & scale personnel.  Ability to climb up and down from trailers.  Ability to lift up to 80 pounds.  Ability to walk on uneven ground in field locations.  Ability to navigate safe entry into and exit from field roads.  Ability to work flexible and long hours.  Ability to work as a team with supervisors, tractor drivers, plant receiving personnel, and other truck drivers.

",35,5:00 A.M. - 1:00 P.M.
