,Job Name,Company Name,City Name,Payment Rate,Begin Date,End Date,Telephone,Email,Web,Full Time,Workers Needed,Job Duties,Experience Required,Experience Months,Special Requirements,Hours Per Week,Schedule
30,Farmworker (crop) ,Chazy Orchards,"Chazy, NY",$15.66 per hour,8/29/2022,11/12/2022,+15188467171,customerservice@chazyorchards.com,,Yes,107,"Workers will sort apples according to size, color and grade before packing; line boxes, cartons or crates with treated paper or cardboard; place apples in containers for storage or shipment; weigh, stamp, brand and date of packing on container, and pack apples according to the quality and method of the employer. Workers will also perform general orchard tasks such as setting and removing hail netting, including apple tree pruning and apple bin repair. Work requires long periods of standing and bending and kneeling. Workers must be able to lift and carry up to 80 pounds and be available to work Monday through Saturday. Workers must also be willing to work in varied weather conditions. Productivity must be at least 60 bushel boxes per 7 hours worked with no more than 1% bruising.  The employer will provide 1 day of training and allow 2 days of work for the worker to satisfactorily perform all duties in this job order. Employer will furnish to workers without cost all tools and equipment required to perform duties assigned. Worker will be given 30 minutes for lunch. Beginning and ending times will vary depending on the conditions in the orchard. Workers must be able to take direction in simple English due to federal safety regulations. All applicants must be able, willing, and qualified to perform the work described in this job description and must be available for the entire period of employment specified on this order. This work order is for qualified people to perform a combination of tasks involved in the packing of apples. The percentage of apples which are produced and packed by Chazy Orchards is 100% and ZERO percent of apples are grown by other producers. ",Yes,3,"Workers must be willing to work in varied cold weather as low as 15 degrees and work on snow-covered ground up to one foot deep. All workers must be able to lift and carry up to 80 pounds and be able to work up to 6 days a week. Allergies to ragweed, goldenrod, insect spray, and related chemicals may affect workers ability to perform the job. There is no drivers license requirement for this job opportunity. However, workers that hold a valid drivers license (including international license) may be asked to drive farm trucks/tractors to move bins, buckets, etc. to and from the field. Before any worker is required to operate equipment, the worker will be instructed in the proper and safe operation. Repeated failure to obey operating and safety instructions may result in termination.  Workers may supervise crews of up to 25 workers during apple harvest. Workers referred as result of this order must have a minimum of three months experience in performing the desired task",40,7:30 A.M. - 3:00 P.M.
31,Farmworker/laborer,Grabemeyer Farms,"Dowagiac, MI",$15.37 per hour,8/29/2022,10/31/2022,+15173915090,wuglals@michfb.com,,Yes,8,"APPLE HAND HARVEST: Worker will be assigned a row, occasionally with a partner or team, and is responsible for picking all the specified  fruit from that row, or half row as directed by supervisor. Fruit is selected from the tree according to size and/or color standard set by the picking supervisor. Worker will pick fruit by gently grasping fruit with the hands and removing from the tree in a motion so as not to harm adjacent buds on the tree branches. Some varieties require the use of a stem clipping tool.  Worker will check the entire tree to ensure removal of all fruit meeting picking requirements. Workers sill place fruit gently in the picking container until container is full.. The full picking container weighing up to 60 lbs. is then gently emptied into a field bin, taking care not to spill or bruise the fruit in the container or in the field bin. Workers are required to stay in their assigned row unless directed by supervisor to change rows  or assist another worker with their row.. Picking units will be kept free of limbs, leaves or mushy fruit. 

Workers must keep the work area clean and safe by removing dropped fruit from bin area to avoid slips and falls when emptying the bucket into the bin. Supervisors will explain and demonstrate picking requirements to all workers as needed at the start of the season and thereafter to ensure quality standards. 

Workers must take when picking so as not to damage or bruise fruit, Workers is required to check and dump fruit without stem pulls, punctures, bruising or other damage which diminishes quality. Observation of bruised, damaged or cull fruit by the supervisor, or as indicated on the pick quality report will result in progressive disciplinary action, described in attached work rules. Field sorting may be required during harvesting in certain apple blocks due to large frost damage. 

In some instances, harvesting will be done from a picking platform or an 18-foot ladder weighing up to 50 lbs. All workers must be able to lift and carry the ladder, as well as work from the top of the ladder. When workers use ladders for harvesting, workers will be required to pick up and return ladders to the wagon provided by employer at the end of each workday or as directed by employer or supervisor. Worker will complete harvest preparation including spreading liners in bins and rolling bins into blocks by hand. 
Pay will be individual or team-based piece rate. 

PEACH HAND HARVEST: Worker hand harvests peaches to quality standards. Worker will use harvesting basket and pick fruit while standing on the ground and higher branches while standing on a ladder. Worker will pick according to grade, color, and size by gently grasping fruit with the hands and removing from the tree in a motion so as not to harm adjacent buds on the tree branches. Worker will fill bucket in a way that will distribute weight of produce evenly. Worker will carry basket of up to 60 lbs. and will place basket into wooden bins which hold approximately 10 bushels of fruit. Worker must always exercise care to prevent bruising of fruit or breaking of branches. Workers must be able to pick fruit without stem pulls, punctures, bruising or other damage which diminishes quality. Worker must also exercise care to prevent knocking fruit with the ladder or a prop. Observation of bruised, damaged or cull fruit by supervisors will result in progressive disciplinary action, outlined in work rules below. Worker may not pick up fruit that has been in contact with the ground. Worker must pick all fruit on the tree that meets quality standards. Pay will be hourly.

See Addendum C for Additional Job Duties",Yes,3,"Experience Requirement: 3 months verifiable experience in commercial tree fruit hand harvest. Applicants must furnish job references from employers of the last 5 years establishing acceptable prior experience.

Season Commitment:  Job offered requires worker be available for and worker agrees to work every day that work is available for entire employment period. 

Worker must be able to perform job description duties in safe manner consistent with established safety procedures.

Drug testing not utilized as pre-employment tool. See work rules for additional information regarding post-employment drug testing. 
",35,7:00 A.M. - 2:00 P.M.
32,Orchard Worker,"Fowler Brothers, Inc.","Wolcott, NY",$15.66 per hour,8/29/2022,10/29/2022,+18774669757,briana@fowlerfarms.com,https://labor.ny.gov/careerservices/CareerServicesIndex.shtm,Yes,272,"Crops/Commodities: 
apples, hops. 
Workers will manually plant, cultivate and harvest apples; use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears and knives. Duties include tilling soil, transplanting, weeding, thinning or pruning; applying fertilizers, pesticides and herbicides.  Construct trellises, repair fences and farm buildings or participate in irrigation activities.  Operate tractors, tractor-drawn machinery and self-propelled machinery to plow, harrow and fertilize soil, or to plant, cultivate, spray and harvest crops. Repair and maintain farm vehicles, implements and mechanical equipment. Identify plants, pests and weeds to determine the selection and application of pesticides, herbicides and fertilizers. Inform farm managers of crop progress. Clear and maintain irrigation ditches. Record information about crops, such as pesticide use, yields or costs.  
Prune trees seasonally to promote optimum growth of tree and fruit. Gather pruned branches from area for disposal. Perform pruning and suckering by cutting terminal growth and water sprouts from inside of tree using hand pruner. Thins trees from orchard to eliminate diseased or nonproductive trees using chain saw.  
Workers will hand-pick apples for fresh market and/or processing. Productivity must be at least 4 bins (80 bushels) per day of fresh market apples and 5 bins (100 bushels) per day of processing fruit. Workers will make sure bins are clean and free of debris before placing harvested apples into the bins. Workers will load the bins onto the rail using a tractor.
Worker places ladder firmly against or within tree in a secure position so as not to break limbs or knock off fruit and to prevent slipping or falling. All fruit is to be handled with care to avoid bruising. Fruit injured by bruising during picking shall not exceed 1% (WNY) for fresh and 1% (WNY) for processing. Each worker's picked fruit will be inspected according to instructions given each day by the orchard foreman. Workers will be directed to strip all fruit from tree at one picking or to spot pick (selective picking) according to size and color depending on crop conditions and state of maturity. Fruit picked as drops is never mixed with tree fruit.
Machine Operation: Drive/operate utility vehicles and row crop tractors. Mow/rake hop bines. Operate  pickers and/or dryers. Dig and prepare ground. Plant roots or pots. Pick up pots after planting. Cut roots off hill with hop knife. Wash and separate roots. Cut roots to length and bundle roots. Load roots/plants onto trailers or trucks. Stack, stage, and haul roots/pots. Remove broken or damaged poles and install a new pole. Ensure all hop poles are vertically straight and tamped into place. Manually remove weeds by hand or with digging tools. Weeding baby hop yards requires special care to detour damaging bines.  Manually remove drip tubing from hop plants and place at center of the hill to avoid damage. Roll, tie, and install tube with utility vehicle and tubing roller. Re-tie broken tubes to nearest string. Excess or repeated damage to drip tubes may result in suspension or discharge. Load string bundles onto string cart. Top tie string to trellis. ""Pogo"" hop strings into hop hills with hop clips. Fix loose/missing strings. Fix non-compliant acreage immediately. Hills found without clips may result in suspension or discharge. No unused string may be discarded in the field. Manually train (wrap) hop bines on string. Training hops will require special care not to damage bine. Pick up bines and hop clusters from ground behind combine and put into truck. Cut bale cloth with hot knife. Bale and sew hop bales. Stencil hop bales. Clean and sweep baler floor. Mix hops with pitchfork and push hops to pit. Track harvest information on sheet. Sort plants and separate hop plants by untangling vine. Take care not to damage hop vine. Till soil and prepare field for planting. Plant pots in field.",Yes,3,"This job requires a minimum of three months of verifiable prior experience working in tree fruit or vegetable crops, handling both manual and machine tasks associated with commodity production and harvest activities. Applicants must be able to furnish verifiable job reference(s) or comparable third party documentation from recent employer(s) establishing acceptable prior experience.   Workers must be able to perform manual as well as mechanized activities with accuracy and efficiency. Saturday work required.  Must be able to lift/carry 60 lbs. Employer reserves the right to post-hire, employer-paid drug test after an employee has an accident at work.",45,7:00 A.M. - 3:30 P.M.
33,Farmworker,Rinehart Orchards Inc.,"SMITHSBURG, MD",$15.54 per hour,8/29/2022,12/15/2022,+13018242045,,www.mwejobs.maryland.gov,Yes,14,"Manually plant, cultivate, and harvest peaches and apples.  Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks and shears.  Duties may include tilling soil and applying fertilizers, transplanting, weeding, thinning or pruning crops;  applying pesticides; cleaning, packing, and loading harvested products.  Will prune, plant, culitvate, irrigate, fertilize, harvest, and sort fruit crops while working outside in all types of weather.  Must have at 3 months or 480 hours of verifiable experience, ability to lift and carry 75 lbs, and pick fruit with a 3% or less bruise rate.    ",Yes,3,,50,7:00 A.M. - 5:00 P.M.
34,Farm Worker,"Fitzgerald Farms, LLC","Arrington, VA",$14.16 per hour,8/29/2022,10/31/2022,,referrals@maslabor.com,www.vawc.virginia.gov/,Yes,11,"Crops/Commodities: 
pumpkins. 
This job requires a minimum of three months of prior experience working on a pumpkin, cabbage, melon or corn farm handling both manual and machine tasks associated with commodity production and harvest activities. Workers must be able to perform manual as well as mechanized activities with accuracy and efficiency.  Workers will harvest and grade pumpkins and place them in bins.  May operate and help maintain tractors or hand-operated equipment.  May assist with general farm building maintenance.

Workers must be physically able to perform heavy lifting.  Considerable stooping and kneeling is required.  Care must be taken to prevent damaging produce and plants.   

Work is to be done for long periods of time.  Workers will assist in loading trucks with product weighing up to and including 60 pounds and lifting to a height of 5 feet for long periods of time. Workers should be able to work on their feet in bent positions for long periods of time.  Work requires repetitive movements, lifting and extensive walking.  Allergies to ragweed, goldenrod, insect spray, related chemicals, etc. may affect workers' ability to perform the job. Workers are exposed to wet weather early in the morning through the heat of the day, working in fields.  Temperatures may range from 10 to 100 F.  Workers may be required to work during occasional showers not severe enough to stop field operations. Workers should be physically able to do the work required with or without reasonable accommodations.  

Employer assures that workers will be provided transportation from living quarters to work site every day (for workers who must be provided housing under the applicable regulations.)

Persons seeking employment as experienced Farm Worker must be available for the entire period requested by the employer. Applicants must be able to furnish job reference(s) from recent employer(s) establishing acceptable prior experience.  Successful applicants will be subject to a trial period of up to five days during which their performance of required tasks will be evaluated.  If the performance during the trial period is not acceptable to the employer the worker‘s employment will be terminated.

Raises and/or bonuses may be offered to any seasonal worker employed pursuant to this job order, at the company's sole discretion, based on factors including work performance, skill, and tenure.

The employer may discipline the worker, including brief suspension of work activities (“time out”) for a period determined by the supervisor, suspension from employment for a set period of days or termination of employment as described in the “Work Rules.""


Employer retains the right to discharge an obviously unqualified worker, malingerer or recalcitrant worker who is physically able but does not demonstrate the willingness to perform the work necessary for the employer to grow a premium quality product, or for any other lawful reason.   

All terms and conditions included in the job order will apply equally to all workers, Both U.S. workers and H-2A workers, employed in the occupation described in this clearance order. 
 
Employer may request, but not require, workers to work more than the stated daily hours and/or on a worker's Sabbath or federal holidays. Workers will have an unpaid lunch break. Worker must report to work at designated time and place each day. Daily or weekly work schedule may vary due to weather, sunlight, temperature, crop conditions, and other factors. Employer will notify workers of any change to start time. 
 
 
TERMINATION.  All workers will be subject to a five-day trial period, during which the employer will evaluate workers' performance of required tasks. Employer reserves the right to terminate a worker at the conclusion of the trial period if the worker's performance fails to satisfy the employer's reasonable expectations, or is otherwise unacceptable.",Yes,3,"This job requires a minimum of three months of prior experience working on a pumpkin, cabbage, melon or corn farm handling both manual and machine tasks associated with commodity production and harvest activities. Workers must be able to perform manual as well as mechanized activities with accuracy and efficiency. Saturday work required.  Must be able to lift/carry 60 lbs.  Employer-paid post-hire drug testing is required upon reasonable suspicion of use and after a worker has an accident at work.",40,8:00 A.M. - 4:00 P.M.
35,Farm Laborer,New Era's American Apple LLC,"New Era, MI",$15.37 per hour,8/29/2022,1/1/2023,,farmercaleb.cc48@gmail.com,https://seasonaljobs.dol.gov/,Yes,14,"WORKERS MUST BE ABLE TO PERFORM ALL WORK ACTIVITIES WITH ACCURACY AND EFFICIENCY. WORKERS WILL PERFORM ANY OF THE FOLLOWING DUTIES: PULLING WEEDS, PICKING UP STONES AND ROOTS, REMOVAL OF REFLECTIVE TARPS THAT ARE IN THE ROWS, CLEANING EQUIPMENT, REMOVAL OF STRINGS AND WIRE FROM TRELLISES, AND OTHER HAND TASKS. WORKER MAY BE REQUIRED TO ENGAGE IN TASKS INVOLVED IN THE CARE FOR YOUNG TREES, SUCH AS WEEDING, TREE TRUNK PAINTING, AND HAND CLIPPING. INSTRUCTIONS AND OVERALL SUPERVISION AND DIRECTION OF THE WORKERS WILL BE PROVIDED BY A COMPANY SUPERVISOR. ALL WORKERS HIRED PURSUANT TO THIS LABOR CERTIFICATION MUST BE ABLE TO COMPREHEND AND FOLLOW INSTRUCTIONS OF A COMPANY SUPERVISOR AND COMMUNICATE EFFECTIVELY TO SUPERVISORS. UNUSUAL, COMPLEX, OR NON-ROUTINE ACTIVITIES WILL BE SUPERVISED. EMPLOYER RETAINS FULL DISCRETION TO MAKE WORK ASSIGNMENTS, TAKING INTO ACCOUNT UNFORESEEN CIRCUMSTANCES SUCH AS WEATHER OR OTHER UNSCHEDULED/UNEXPECTED INTERRUPTIONS IN REGULAR WORK. ALL WORKERS MUST PERFORM THE WORK ASSIGNED BY THE FOREMAN OR CREW BOSS. WITHOUT SPECIFIC AUTHORIZATION BY THE FOREMAN OR CREW BOSS, WORKERS MAY NOT PERFORM DUTIES WHICH ARE NOT PROVIDED FOR IN THIS APPLICATION, OR WORK IN AREAS NOT ASSIGNED. WORKERS WILL BE EXPECTED TO PERFORM ANY OF THE LISTED DUTIES AS ASSIGNED BY HIS/HER SUPERVISOR. WORKERS MAY NOT LEAVE THEIR JOB ASSIGNMENT AREA UNLESS AUTHORIZED. LEAVING JOB AREA OR FARM WITHOUT
PERMISSION MAY BE CONSIDERED VOLUNTARY RESIGNATION. PRIOR TO BEGINNING WORK ON OR AFTER THE DATE OF NEED, WORKERS WILL BE REQUIRED TO ATTEND AN ORIENTATION ON WORKPLACE RULES, POLICIES AND SAFETY INFORMATION. WORKERS SHOULD BE ABLE TO PERFORM REPETITIVE MOVEMENTS, ENGAGE IN EXTENSIVE WALKING, AND WORK ON FEET WHILE IN BENT POSITIONS FOR EXTENDED PERIODS OF TIME. ALLERGIES TO ITEMS SUCH AS RAGWEED, GOLDENROD, INSPECT SPRAY, AND RELATED CHEMICALS, MAY AFFECT WORKERS ABILITY TO PERFORM THIS JOB. WORKERS SHOULD BE PHYSICALLY ABLE TO DO THE WORK
REQUIRED WITH OR WITHOUT REASONABLE ACCOMMODATION. WORK IS TO BE DONE FOR LONG PERIODS OF TIME. TEMPERATURES MAY RANGE FROM BELOW FREEZING TO 105 F. WORKER MAY BE REQUIRED TO WORK IN IN WET CONDITIONS AND SHOULD HAVE SUITABLE CLOTHING FOR VARIABLE WEATHER CONDITIONS. WORKERS MAY BE REQUIRED TO WORK DURING OCCASIONAL SHOWERS NOT SEVERE ENOUGH TO STOP FIELD OPERATIONS. SATURDAY WORK IS REQUIRED OF ALL WORKERS. ALL WORKERS MUST BE ABLE TO LIFT/CARRY 60 LBS. EMPLOYER MAY REQUIRE POST-HIRE DRUG TESTING UPON REASONABLE SUSPICION OF USE AND AFTER A WORKER HAS AN ACCIDENT AT WORK. EMPLOYER WILL PAY FOR SUCH DRUG TESTING. ALL WORKERS MUST OBEY ALL SAFETY RULES AND BASIC INSTRUCTIONS AND BE ABLE TO RECOGNIZE, UNDERSTAND AND COMPLY WITH SAFETY, PESTICIDE WARNING/RE-ENTRY AND OTHER ESSENTIAL POSTINGS. THE JOB REQUIRES EXTENSIVE STANDING AND WALKING. WORKERS ARE FREQUENTLY REQUIRED TO USE THEIR HANDS AND ARMS TO
HANDLE, FEEL, REACH, CLIMB, OR BALANCE. WORKERS ARE OCCASIONALLY REQUIRED TO STOOP, KNEEL, CROUCH, OR CRAWL UNDER LINES. WORKERS MUST BE ABLE TO LIFT/CARRY UP TO 60 LBS. THROUGHOUT THE COURSE OF THE DAY. SOME WORKERS WHO HAVE A LEGAL DRIVERS LICENSES MAY BE NEEDED TO DRIVE A TRUCK OR BUS TO AND FROM FIELD. WORKERS MUST BE ABLE TO PERFORM ALL DUTIES WITHIN THIS JOB DESCRIPTION IN WHAT CAN BE CONSIDERED A SAFE MANNER ADHERING TO ALL ESTABLISHED SAFETY GUIDELINES, PRACTICES AND PROCEDURES. SUPPLEMENTAL TO OTHER TASKS, WORKERS MAY PERFORM VARIOUS DUTIES ASSOCIATED WITH INSTRUCTING OTHER WORKERS ON HOW TO COMPLETE JOB DUTIES AS NEEDED AND TIME KEEPING. SUPPLEMENTAL TO OTHER TASKS, WORKERS THAT ARE ABLE TO BE PROPERLY LICENSED MAY ALSO TRANSPORT WORKERS. WORKERS MAY BE REQUIRED TO DRIVE FORK-LIFTS, DUMPCARTS, AND SKIDSTEERS. WORKERS MAY BE REQUIRED TO FILL OUT SHIPPING PAPERWORK.",Yes,3,"WORKERS MUST HAVE 3 MONTHS EXPERIENCE IN ASPARAGUS HARVESTING. APPLICANTS MUST BE ABLE TO FURNISH JOB REFERENCES ESTABLISHING ACCEPTABLE PRIOR EXPERIENCE. SUCCESSFUL APPLICANTS WILL BE SUBJECT TO A TRIAL PERIOD OF 3 TO 5 DAYS DURING WHICH THEIR PERFORMANCE OF REQUIRED TASKS WILL BE EVALUATED. IF THE PERFORMANCE DURING THE TRIAL PERIOD IS NOT ACCEPTABLE TO THE EMPLOYER, THE WORKERS EMPLOYMENT WILL BE TERMINATED.",36,8:00 A.M. - 2:00 P.M.
36,Farmworker/crew Lead,wafla,"Cowiche, WA",$18.50 per hour,8/29/2022,10/17/2022,+13607017661,lguitron@wafla.org,,Yes,1,"This contract encompasses  supervising general farm labor and labor for harvest of apples, and pears. 

The worker will supervise the work of farmworkers and communicate with other team members and fixed-site employer during harvest. The worker will also drive the crew members between housing locations and worksites. Bus driver/supervisor will pick up workers from housing, take them to worksites, walk field, supervise workers, and drive them back to their housing. They will also assist in ensuring proper field sanitation efforts are met, such as clean drinking water, bathroom and handwashing facilities available to workers. Driver/supervisor is required to live in the housing provided by the employer and take workers once a week to the grocery store.

Job Duties to be supervised:
APPLE/PEAR Harvest: Worker will hand harvest apples and pears. Worker will attach harness, bucket or bag and picks low hanging fruit while standing on the ground and higher branches while standing on a ladder. Worker will pick according to grade, color and size by grasping fruit with the hands and removing from the tree in a motion so as not to harm the fruit or adjacent buds on the tree branches. Worker will carry harness, bucket or bag of up to 60 lbs. and will place fruit into bins, which hold approximately 25 bushels of fruit. Care must be exercised at all times to prevent bruising of fruit or breaking of branches. Some workers may be required to examine harvested fruit in bins and sort out any fruit not meeting the grade, color and size specifications. Workers must possess ability to pick up, handle a 10 ft. or 12 ft. orchard ladder weighing 40 pounds. When using the ladder, worker will exercise caution to ensure ladders is safely set and ready to be used. Worker will check ladders daily for damage and repair upon arrival to designated row. Worker will be assigned a designated row by a manager on duty. Worker will check picking bag daily for damage and repair. Worker will wash picking bag at end of every day. ",Yes,3,"This job opportunity requires 3 months of tree fruit experience.

4e) Must be able to lift and/or load 60lbs. When lifting loads heavier than 60 pounds, use two or more people to lift the load.
4g) Work may take place when temperatures are below freezing and above 100 degrees Fahrenheit.
4h) May require extensive pulling and/or pushing of tools, wheelbarrows, fruit containers, etc.
4i) May require worker to sit and/or walk for extensive periods of time.
4j) Workers may be required to stoop and/or bend over while performing farm labor training tasks such as weeding, irrigating, pruning, picking, removing debris, etc. 
4k) There may be repetitive movements while performing most of the training for farm labor duties.
",42,6:00 A.M. - 1:30 P.M.
37,Orchard Worker,"FirstFruits Farms, LLC","Prescott, WA",$17.41 per hour,8/29/2022,11/18/2022,+15097492217, ryana@firstfruits.com,www.worksourcewa.com,Yes,725,"Crops/Commodities: apples.

Orchard laborers needed for thinning, harvesting, and other specialized orchard tasks at employer-owned apple orchard sites. Tasks may be performed on ground level, using 10–12-foot ladders, or from a motorized platform. Workers will be primarily responsible for proper and efficient thinning and harvesting of apples. Supervisor(s) will provide instructions and directions to workers. Workers must be able to comprehend and follow instructions and communicate effectively to supervisors. Unusual, complex or non-routine activities will be supervised. Workers expected to perform basic duties in a proficient manner without close supervision. 

Thinning involves manually removing fruit or buds to control the size, quality and/or quantity of mature fruit. Thinning standards may change from time to time based on block, variety, crop yield, or other company, market, or horticultural needs. Workers must possess or quickly acquire the ability to identify and remove fruit that is misshapen, damaged, and/or contains other quality problems, as directed by the Company.

Harvesting involves the manual hand harvesting of apples. Worker will attach harness, bucket, or bag and pick low hanging fruit from ground level, using ladders, or from a motorized platform. Worker will pick according to current company provided criteria, including, but not limited to, grade, color, and/or size. Worker must handle and harvest the fruit in a manner that does not bruise or damage the fruit or harm adjacent buds or fruit on the tree branches. Workers will have their fruit checked for damage and bruising. Any bruise the size of a pencil end or bigger will be counted. If the sampled bin of fruit contains 5-9 bruises a warning ticket is issued; a second warning ticket will result in a two (2) day suspension; a third warning ticket will result in termination. Warning ticket counts will reset at the end of apple harvest. Workers may also be required to examine harvested fruit in bins and sort out any fruit not meeting the specified criteria, or any foreign objects, including branches, leaves, etc.

Workers must possess or quickly acquire the ability to properly harvest apples in accordance with current company harvest standards. For apple harvest, worker will carry harness, bucket, or bag of up to 60 pounds and carefully place fruit in wooden or plastic bins measuring 47 x 47 x 24, which holds approximately 25 bushels of apples.

Workers failing to produce a sufficient number of piece rate units to earn the Adverse Effect Wage Rate (AEWR) for all hours worked during a pay period will be paid on an hourly basis at the AEWR for that pay period.

Other tasks that may be performed include planting of new trees; weeding or hoeing; tree trunk painting; loading or unloading empty apple bins by hand; distributing empty apple bins throughout the orchards; and picking up garbage within the orchard.

Employees receive a 10-minute rest break in every four hours worked. Rest breaks will be paid at the regular rate of pay, determined by dividing the total piece rate earnings for the pay period by the total hours worked in that period, exclusive of break time, or the minimum hourly rate required by law, whichever is greater.

Workers with a clean driving record (no major moving violations such as but not limited to Driving While Intoxicated or Reckless Driving) and able to obtain an insurable driver's license may drive company vehicles. Workers with appropriate licenses and a valid doctor's certificate may transport other workers.

Other tasks may include proper sanitation of hand tools, ladders, bathrooms, vehicles, other orchard equipment and living quarters. Workers will be required to follow company/federal/state/local COVID-19 or other sanitation standards.",Yes,3,"This job requires a minimum of three months prior experience working in an orchard, handling manual tasks associated with the commodity production and harvesting of tree fruits. Applicants must be able to furnish verbal or written statement establishing relevant prior work experience. Workers must be able to perform all work activities with accuracy and efficiency. Primary tasks will be thinning and harvesting of apples. Saturday work required. Must be able to lift/carry 60 lbs. Must be able to use/handle ladders 10-12 ft. in length and weighing 25 - 30 lbs. Employer-paid post-hire drug testing required.",39,7:00 A.M. - 2:30 P.M.
38,General Farm/harvest Worker,"Driscoll Brothers, Partnership","Aberdeen, ID",$14.68 per hour,8/29/2022,11/11/2022,,H-2AJobs@snakeriverfarmers.org,https://idahoworks.gov/job_seeker,Yes,20,"Worker will be required to perform a variety of duties related to the production of corn, alfalfa hay, grass hay, potatoes, sugar beets and wheat. The majority of the work activities during the overall contract period, however, will be related to general farm work/irrigation/crop production.
General Farm Work will include the following responsibilities: maintain, drive, attach and operate farm implements/tractors/equipment to till soil, plant, cultivate, fertilize and harvest crops; make minor mechanical adjustments and repairs on farm machinery; may mix and/or spray chemicals (according to appropriate restrictive use laws, when/if applicable); remove undesirable and excess growth from crops or farm grounds; remove rocks from field; paint farm structures; perform general cleanup of farm areas; drive, load/unload farm trucks; operate motor bike or all-terrain vehicle in the course of performing duties. 
Irrigation duties will include the following:
Hand lines: connect pipes; check alignment of pipe and adjust for proper water distribution; attach lines to water supply; turn on pump; turn valves to start flow of water; disassemble lines and carry pipes across fields at specified intervals; move pipes through freshly irrigated crops and/or plowed fields where mud may be deep at times; lift and carry pipe sections weighing approximately 40 pounds on a sustained basis. 
Wheel lines: start gasoline engines and operate controls to move lines across fields at specified intervals. 
Other Irrigation Duties: remove pipes/wheel lines from storage and lay out/place in predetermined patterns in fields; lubricate, adjust, repair and replace parts such as sprinkler heads and drive chains using hand tools; observe revolving sprinklers and adjust to ensure proper operation and uniform distribution of water; disassemble, service and store pipes/mainlines/wheel lines after irrigation season. 
Duties related to the Harvesting of Potatoes will include the following:
Will apply techniques as instructed by the employer to: remove rocks from rows in front of harvesting equipment; discard diseased/rotting product, rocks and foreign matter; operate piler; alert equipment operator of equipment clogging/malfunctions; aid operator in correct machine performance.",No,,"Applicants must have 20 days experience with farm/irrigation work. Extensive standing during periods of time may be required.  Applicants hired must be able to obtain a valid drivers license as driving on public roads may be required and must be insurable according to employer's insurance carrier. To meet minimum acceptable performance standards when irrigating, the worker must, after a 10-day conditioning period, move an average of at least 48 40-foot sections of 3-inch pipe or 44 40-foot sections of 4-inch pipe per hour under normal working conditions.",48,7:00 A.M. - 4:00 P.M.
39,Range Sheepherder,CAPRA ENVIRONMENTAL SERVICES CORP.,"ELK GROVE, CA","$2,488.97 per month",8/29/2022,11/30/2022,+12085952226,applicants@westernrange.net,,No,1,"Must have 3 months experience with 800 - 1000 head flocks. One reference required.  
Attends sheep grazing on range or pasture: Herds flock and rounds up strays using trained dogs. Attend to sheep grazing on the range to include: Herding sheep on the range or in pastures while riding on horseback, riding ATVs, or walking on foot. Beds down flock near evening campsite. Guards flock from predatory animals and from eating poisonous plants. Drenches sheep. May examine animals for signs of illness and administer vaccines, medications and insecticides according to instructions.
Range herding is completed when vegetation is not in a dormant state.  A range herder requires knowledge and maintenance of rangeland in order to avoid overgrazing of the range land and prevention of sheep ingesting noxious weeds.  The proper grazing action of these animals helps to reduce wildland fire fuel, increase soil fertility and improve vegetation.  Experienced employees hired for this type of position would need to have the knowledge of maintaining a herd on a range so the sheep don’t disperse in large open areas, be able to promote proper grazing of rangeland, and predator control on the range.

Some work/tasks may occur off the range, but more than 50% of work will be performed on the range.  Western Range Association and its member ranches facilitate practices of good animal husbandry.  Employees that are found abusing, neglecting or abandoning sheep entrusted to their care may be terminated for cause.  If the negligent/abusive actions of an employee result in the loss/death of sheep or cause harm to another person, the employee may be held accountable for these actions.
The worker will live in the employer provided range housing.  Said housing will be clean and in good repair at the time it is provided to the employee.  The employee is responsible to maintain the housing unit in a reasonable level of cleanliness in order to avoid flies, mice or other vermin.  The employee is responsible to alert the employer of damage to the housing unit within a reasonable amount of time.  The employee may be held accountable for damage to the housing unit that is the result of a dishonest or willful act or by the gross negligence on the part of the employee (normal wear and tear excepted).
***Hours worked footnote: On call for up to 24 hours 7 days a week***",Yes,3,,,null null - null null
